ANO;DATA;PIB;PIB_REAL
1990;01/01/1990;0,20;390914,01
1990;01/02/1990;0,40;455398,43
1990;01/03/1990;0,80;502314,61
1990;01/04/1990;0,70;394795,01
1990;01/05/1990;0,80;413674,06
1990;01/06/1990;0,80;379447,86
1990;01/07/1990;0,90;377835,76
1990;01/08/1990;1,00;371750,21
1990;01/09/1990;1,10;366059,65
1990;01/10/1990;1,40;408106,25
1990;01/11/1990;1,70;421930,69
1990;01/12/1990;1,80;383608,23
1991;01/01/1991;2,10;373170,13
1991;01/02/1991;2,40;352142,80
1991;01/03/1991;2,50;342019,04
1991;01/04/1991;3,10;390016,19
1991;01/05/1991;3,60;425199,05
1991;01/06/1991;4,10;440792,35
1991;01/07/1991;4,60;438312,07
1991;01/08/1991;5,30;437277,46
1991;01/09/1991;5,60;397649,55
1991;01/10/1991;7,50;423175,49
1991;01/11/1991;9,20;412766,60
1991;01/12/1991;10,50;385698,63
1992;01/01/1992;13,10;379379,50
1992;01/02/1992;16,30;378277,39
1992;01/03/1992;19,60;376852,66
1992;01/04/1992;23,60;382791,77
1992;01/05/1992;30,10;398711,07
1992;01/06/1992;37,50;409103,17
1992;01/07/1992;46,10;413283,06
1992;01/08/1992;56,70;404899,85
1992;01/09/1992;70,80;396945,30
1992;01/10/1992;89,00;399379,63
1992;01/11/1992;110,40;398816,81
1992;01/12/1992;127,70;372928,51
1993;01/01/1993;164,00;372047,82
1993;01/02/1993;206,90;371014,21
1993;01/03/1993;294,60;413330,99
1993;01/04/1993;368,10;402786,84
1993;01/05/1993;481,60;398413,99
1993;01/06/1993;613,50;388258,19
1993;01/07/1993;841,40;403521,11
1993;01/08/1993;1149,50;412851,51
1993;01/09/1993;1578,40;413821,56
1993;01/10/1993;2071,30;401841,82
1993;01/11/1993;2792,80;395601,76
1993;01/12/1993;3534,90;367582,33
1994;01/01/1994;4562,80;333687,45
1994;01/02/1994;5793,00;297489,39
1994;01/03/1994;8520,40;302113,00
1994;01/04/1994;12828,80;319302,65
1994;01/05/1994;20504,20;362071,41
1994;01/06/1994;33126,60;399074,11
1994;01/07/1994;40788,00;465886,53
1994;01/08/1994;43873,40;484931,70
1994;01/09/1994;43836,20;477125,09
1994;01/10/1994;45234,90;480106,22
1994;01/11/1994;45926,20;475693,78
1994;01/12/1994;44210,20;455324,47
1995;01/01/1995;47028,60;477852,60
1995;01/02/1995;49954,50;501811,53
1995;01/03/1995;60024,30;592246,75
1995;01/04/1995;57789,50;557376,80
1995;01/05/1995;56350,50;541332,38
1995;01/06/1995;56726,20;531028,61
1995;01/07/1995;58788,10;538273,26
1995;01/08/1995;60950,30;550963,29
1995;01/09/1995;60610,80;553876,22
1995;01/10/1995;63428,10;578291,32
1995;01/11/1995;67762,90;609703,82
1995;01/12/1995;66577,70;597426,81
1996;01/01/1996;64133,30;565372,12
1996;01/02/1996;62202,20;544212,34
1996;01/03/1996;62987,80;549875,90
1996;01/04/1996;64019,10;554994,07
1996;01/05/1996;69488,70;592457,80
1996;01/06/1996;71103,00;598914,50
1996;01/07/1996;74969,90;624677,18
1996;01/08/1996;74798,80;623251,51
1996;01/09/1996;71744,60;597026,64
1996;01/10/1996;77200,10;641014,65
1996;01/11/1996;80449,10;666126,88
1996;01/12/1996;81667,10;670313,29
1997;01/01/1997;77582,60;626883,47
1997;01/02/1997;71072,80;571881,03
1997;01/03/1997;70461,60;560461,71
1997;01/04/1997;73576,40;581804,63
1997;01/05/1997;78110,80;615812,91
1997;01/06/1997;81202,40;635736,43
1997;01/07/1997;82058,70;641862,76
1997;01/08/1997;82132,50;642697,10
1997;01/09/1997;81987,30;637797,89
1997;01/10/1997;87297,20;676803,68
1997;01/11/1997;85390,10;656568,66
1997;01/12/1997;81216,80;620200,57
1998;01/01/1998;79363,90;600764,43
1998;01/02/1998;75828,10;573884,56
1998;01/03/1998;80508,70;607910,22
1998;01/04/1998;81166,10;613671,93
1998;01/05/1998;85207,50;642749,39
1998;01/06/1998;85562,40;643624,38
1998;01/07/1998;86938,50;656470,38
1998;01/08/1998;86371,30;653298,07
1998;01/09/1998;84733,50;641038,23
1998;01/10/1998;87302,80;660674,08
1998;01/11/1998;86316,50;654388,04
1998;01/12/1998;83051,80;623526,92
1999;01/01/1999;80936,30;600735,95
1999;01/02/1999;80929,10;575146,02
1999;01/03/1999;88802,60;618848,13
1999;01/04/1999;87739,00;611252,74
1999;01/05/1999;89223,00;623711,96
1999;01/06/1999;91746,90;634879,48
1999;01/07/1999;91230,40;621424,69
1999;01/08/1999;92283,40;619612,92
1999;01/09/1999;90611,80;599575,63
1999;01/10/1999;95872,40;622617,40
1999;01/11/1999;99563,10;630630,70
1999;01/12/1999;98772,50;618021,39
2000;01/01/2000;92576,60;573404,80
2000;01/02/2000;91770,40;567333,39
2000;01/03/2000;92579,90;571309,44
2000;01/04/2000;91376,20;563149,33
2000;01/05/2000;98727,00;604402,63
2000;01/06/2000;102685,40;622843,35
2000;01/07/2000;103410,40;613378,52
2000;01/08/2000;105177,80;612710,52
2000;01/09/2000;100307,60;580334,98
2000;01/10/2000;106951,10;616490,29
2000;01/11/2000;107678,00;618269,06
2000;01/12/2000;105851,60;603197,87
2001;01/01/2001;102530,70;581424,66
2001;01/02/2001;101635,30;574394,15
2001;01/03/2001;108303,80;607223,53
2001;01/04/2001;107572,00;596381,46
2001;01/05/2001;111202,20;613806,62
2001;01/06/2001;104949,40;570956,85
2001;01/07/2001;110758,90;592956,42
2001;01/08/2001;113064,70;599901,58
2001;01/09/2001;108700,80;574564,15
2001;01/10/2001;116139,00;605106,49
2001;01/11/2001;117882,00;609555,24
2001;01/12/2001;113016,70;583347,27
2002;01/01/2002;112374,80;578934,06
2002;01/02/2002;111477,10;573277,38
2002;01/03/2002;118444,70;608439,37
2002;01/04/2002;120385,90;614112,35
2002;01/05/2002;123552,50;623346,66
2002;01/06/2002;123424,40;612050,69
2002;01/07/2002;126856,60;616433,77
2002;01/08/2002;127800,10;606700,39
2002;01/09/2002;125137,80;578781,91
2002;01/10/2002;133125,40;590850,99
2002;01/11/2002;135966,60;570163,54
2002;01/12/2002;130241,20;531796,11
2003;01/01/2003;127177,50;508257,33
2003;01/02/2003;131373,60;516809,53
2003;01/03/2003;138690,50;536684,46
2003;01/04/2003;141388,10;544889,20
2003;01/05/2003;139605,80;541649,52
2003;01/06/2003;137993,40;539167,83
2003;01/07/2003;145970,60;571479,30
2003;01/08/2003;144819,40;563478,75
2003;01/09/2003;148559,80;572026,03
2003;01/10/2003;154925,90;593925,27
2003;01/11/2003;153644,40;586198,75
2003;01/12/2003;153801,40;583297,96
2004;01/01/2004;144558,60;543893,13
2004;01/02/2004;142861,30;531764,09
2004;01/03/2004;157363,50;580347,53
2004;01/04/2004;156953,90;572256,00
2004;01/05/2004;159498,90;573166,87
2004;01/06/2004;165342,20;586597,93
2004;01/07/2004;171370,90;601133,52
2004;01/08/2004;169178,90;585770,84
2004;01/09/2004;164702,50;567547,37
2004;01/10/2004;170536,50;584552,59
2004;01/11/2004;176921,50;601506,28
2004;01/12/2004;178462,40;603606,35
2005;01/01/2005;163540,10;551315,90
2005;01/02/2005;160701,60;539588,57
2005;01/03/2005;175468,70;583396,52
2005;01/04/2005;177179,00;586093,82
2005;01/05/2005;177496,70;588616,29
2005;01/06/2005;180881,80;602553,48
2005;01/07/2005;184073,70;615648,94
2005;01/08/2005;187246,60;631247,81
2005;01/09/2005;181538,90;612802,59
2005;01/10/2005;189183,00;634607,98
2005;01/11/2005;194794,50;651282,33
2005;01/12/2005;198480,00;663140,36
2006;01/01/2006;185564,80;615557,45
2006;01/02/2006;178482,20;592418,42
2006;01/03/2006;190223,30;634243,60
2006;01/04/2006;185030,60;616806,71
2006;01/05/2006;197874,30;657124,61
2006;01/06/2006;199071,90;656701,84
2006;01/07/2006;206974,40;681612,00
2006;01/08/2006;209818,00;688155,16
2006;01/09/2006;201055,40;657837,03
2006;01/10/2006;214271,70;695446,58
2006;01/11/2006;219724,20;709101,49
2006;01/12/2006;221359,30;712525,78
2007;01/01/2007;211130,70;676691,52
2007;01/02/2007;202704,10;648192,72
2007;01/03/2007;217588,90;694262,89
2007;01/04/2007;215128,80;685453,79
2007;01/05/2007;226537,90;720652,97
2007;01/06/2007;228988,60;726559,98
2007;01/07/2007;233824,10;739167,66
2007;01/08/2007;235019,10;732759,95
2007;01/09/2007;223002,70;687253,46
2007;01/10/2007;241939,40;740062,43
2007;01/11/2007;241938,40;732369,50
2007;01/12/2007;242460,20;723316,28
2008;01/01/2008;237247,70;700827,96
2008;01/02/2008;232680,40;684734,20
2008;01/03/2008;242124,40;707573,09
2008;01/04/2008;248793,80;719010,51
2008;01/05/2008;254936,90;723168,42
2008;01/06/2008;265791,20;739972,85
2008;01/07/2008;278095,60;765653,45
2008;01/08/2008;269235,60;744087,61
2008;01/09/2008;265271,20;730501,38
2008;01/10/2008;280522,50;764170,81
2008;01/11/2008;270698,80;736894,26
2008;01/12/2008;264404,80;722941,72
2009;01/01/2009;249934,40;683308,09
2009;01/02/2009;244024,50;668019,14
2009;01/03/2009;262181,70;723804,59
2009;01/04/2009;259563,50;716290,01
2009;01/05/2009;268324,00;739135,00
2009;01/06/2009;275701,20;761894,56
2009;01/07/2009;285444,20;793900,10
2009;01/08/2009;284240,40;789841,14
2009;01/09/2009;283157,90;784870,94
2009;01/10/2009;301895,90;837144,70
2009;01/11/2009;305048,80;845295,85
2009;01/12/2009;313522,80;869734,17
2010;01/01/2010;288972,80;793615,24
2010;01/02/2010;285723,20;776229,86
2010;01/03/2010;311651,60;841369,42
2010;01/04/2010;307083,50;823110,48
2010;01/05/2010;315988,40;833887,25
2010;01/06/2010;321023,20;844303,36
2010;01/07/2010;332454,20;872447,94
2010;01/08/2010;334225,60;867553,48
2010;01/09/2010;331255,90;850489,61
2010;01/10/2010;344963,80;876654,69
2010;01/11/2010;356707,50;892398,99
2010;01/12/2010;355797,40;886752,47
2011;01/01/2011;333255,60;822511,02
2011;01/02/2011;334982,00;818910,42
2011;01/03/2011;347879,60;845284,18
2011;01/04/2011;349049,30;843906,80
2011;01/05/2011;366256,20;885419,89
2011;01/06/2011;370951,20;897937,32
2011;01/07/2011;373143,30;903695,44
2011;01/08/2011;376769,30;906944,69
2011;01/09/2011;361724,60;864247,80
2011;01/10/2011;378491,00;900703,98
2011;01/11/2011;389560,80;923077,81
2011;01/12/2011;391595,10;929385,17
2012;01/01/2012;367215,40;868917,30
2012;01/02/2012;367177,30;868219,39
2012;01/03/2012;392996,50;924095,97
2012;01/04/2012;381795,30;888692,69
2012;01/05/2012;400281,30;923319,75
2012;01/06/2012;398714,50;913403,16
2012;01/07/2012;414617,40;935613,32
2012;01/08/2012;419906,30;935480,40
2012;01/09/2012;393524,70;869058,92
2012;01/10/2012;422672,10;936330,59
2012;01/11/2012;423816,40;936524,21
2012;01/12/2012;423195,90;929021,52
2013;01/01/2013;414131,80;906313,97
2013;01/02/2013;398645,40;870681,12
2013;01/03/2013;427409,80;930620,50
2013;01/04/2013;438856,80;956118,30
2013;01/05/2013;439054,20;953497,17
2013;01/06/2013;442857,00;954501,53
2013;01/07/2013;458458,90;986747,27
2013;01/08/2013;452862,20;970238,32
2013;01/09/2013;438766,70;927426,31
2013;01/10/2013;466166,00;979171,75
2013;01/11/2013;465693,80;975448,64
2013;01/12/2013;473552,50;985112,31
2014;01/01/2014;455935,00;944684,59
2014;01/02/2014;450358,80;925266,10
2014;01/03/2014;462159,80;935663,54
2014;01/04/2014;468767,50;944789,57
2014;01/05/2014;473347,10;958332,14
2014;01/06/2014;458516,50;934191,72
2014;01/07/2014;481994,00;987456,31
2014;01/08/2014;477052,90;976747,48
2014;01/09/2014;476520,60;975462,52
2014;01/10/2014;493304,70;1003897,45
2014;01/11/2014;489484,40;984895,16
2014;01/12/2014;499867,70;1001979,95
2015;01/01/2015;472913,90;941642,32
2015;01/02/2015;460156,70;911410,35
2015;01/03/2015;501752,20;981915,39
2015;01/04/2015;486614,60;943610,31
2015;01/05/2015;483239,70;933332,60
2015;01/06/2015;486647,50;933566,20
2015;01/07/2015;502275,20;957989,45
2015;01/08/2015;492505,70;935613,63
2015;01/09/2015;496004,70;929067,92
2015;01/10/2015;518828,90;955011,79
2015;01/11/2015;513819,80;934668,94
2015;01/12/2015;521918,70;945242,26
2016;01/01/2016;490284,00;874568,05
2016;01/02/2016;491011,70;869001,01
2016;01/03/2016;516985,90;911053,07
2016;01/04/2016;508058,70;892109,61
2016;01/05/2016;513267,50;891185,44
2016;01/06/2016;536459,30;916514,14
2016;01/07/2016;532947,80;914079,83
2016;01/08/2016;534761,80;913264,06
2016;01/09/2016;509975,00;870672,06
2016;01/10/2016;525162,70;895437,70
2016;01/11/2016;541530,70;922884,80
2016;01/12/2016;565780,50;956274,60
2017;01/01/2017;526564,70;886182,00
2017;01/02/2017;514120,50;864720,20
2017;01/03/2017;544312,90;918994,21
2017;01/04/2017;525238,10;897923,39
2017;01/05/2017;548887,70;943163,82
2017;01/06/2017;556787,60;966012,08
2017;01/07/2017;557458,20;970085,81
2017;01/08/2017;555578,70;964500,31
2017;01/09/2017;528871,20;912477,98
2017;01/10/2017;549304,70;946785,75
2017;01/11/2017;566209,30;968177,22
2017;01/12/2017;588892,80;999567,58
2018;01/01/2018;555644,60;937694,53
2018;01/02/2018;528905,50;891233,32
2018;01/03/2018;560120,70;938576,53
2018;01/04/2018;559359,80;928664,93
2018;01/05/2018;547016,50;893518,53
2018;01/06/2018;580697,80;934701,33
2018;01/07/2018;583054,80;934383,91
2018;01/08/2018;582756,70;927598,51
2018;01/09/2018;556776,60;870660,07
2018;01/10/2018;591983,90;923314,91
2018;01/11/2018;593926,90;937027,51
2018;01/12/2018;603155,20;955888,33
2019;01/01/2019;578452,60;916098,05
2019;01/02/2019;567984,50;888414,49
2019;01/03/2019;579172,60;896323,73
2019;01/04/2019;592916,00;909408,25
2019;01/05/2019;604607,40;923645,81
2019;01/06/2019;598283,00;908262,11
2019;01/07/2019;627049,70;952028,46
2019;01/08/2019;616157,60;940286,81
2019;01/09/2019;614187,90;932617,86
2019;01/10/2019;641340,10;968520,45
2019;01/11/2019;634826,20;950603,34
2019;01/12/2019;646343,10;951296,46
2020;01/01/2020;617747,20;908391,07
2020;01/02/2020;609810,80;896631,02
2020;01/03/2020;616335,30;891601,99
2020;01/04/2020;555387,40;803032,12
2020;01/05/2020;561628,40;803458,95
2020;01/06/2020;591537,30;832919,55
2020;01/07/2020;629700,90;866382,80
2020;01/08/2020;625136,30;828056,74
2020;01/09/2020;635263,90;814590,30
2020;01/10/2020;661149,00;817691,37
2020;01/11/2020;665182,80;801520,13
2020;01/12/2020;685042,60;819224,34
2021;01/01/2021;653790,40;759742,16
2021;01/02/2021;676255,00;765112,77
2021;01/03/2021;735993,60;815015,00
2021;01/04/2021;713652,10;773111,68
2021;01/05/2021;712134,20;746099,92
2021;01/06/2021;714893,30;748167,63
2021;01/07/2021;743091,80;766563,45
2021;01/08/2021;740615,10;765079,63
2021;01/09/2021;745774,40;774670,04
2021;01/10/2021;755323,00;772232,88
2021;01/11/2021;771558,90;793434,18
2021;01/12/2021;782833,50;795089,82
2022;01/01/2022;722909,90;719760,84
2022;01/02/2022;754147,40;739765,78
2022;01/03/2022;838868,00;803820,22
2022;01/04/2022;819727,60;782272,18
2022;01/05/2022;826052,10;782905,65
2022;01/06/2022;826025,70;778056,68
2022;01/07/2022;852909,90;806444,15
2022;01/08/2022;854004,10;811944,43
2022;01/09/2022;836785,80;805400,01
2022;01/10/2022;877947,50;850289,63
2022;01/11/2022;879514,90;853343,67
2022;01/12/2022;883886,20;854934,60
2023;01/01/2023;812834,60;785738,84
2023;01/02/2023;831224,50;803194,44
2023;01/03/2023;938679,80;910120,61
2023;01/04/2023;904651,50;886076,99
2023;01/05/2023;903295,90;905855,66
2023;01/06/2023;893157,50;908867,10
2023;01/07/2023;911573,40;931332,25
2023;01/08/2023;923412,30;942956,28
2023;01/09/2023;905975,80;921006,21
2023;01/10/2023;944016,20;954808,19
2023;01/11/2023;950525,30;956608,66
2023;01/12/2023;936798,80;936798,80
